tree	time	x	y	r_stem	h_stem	r_crown	r_root	xylem_resistance	root_surface_resistance	ag_resources	bg_resources	growth	psi_zero	salinity
Initial_000000001	0.0	5.0	5.0	0.005	0.05	0.2	0.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Initial_000000001	3456000.0	5.0	5.0	0.005	0.08792490792962142	0.2087841710110363	0.20000000000000084	77443685613525.95	150714908230960.97	0.0028950461289155814	0.007419385289073892	1.2722715988506576e-05	-7855041.111217974	0.019999641736094326
Initial_000000001	6912000.0	5.0	5.0	0.005	0.1302541285704151	0.21797845121602014	0.20000000000002305	84711475397225.27	150714908230946.56	0.0031554713106539617	0.007189662972516089	1.390375972886362e-05	-7854445.469785866	0.0199996079017091
Initial_000000001	10368000.0	5.0	5.0	0.005	0.17747795696541427	0.22760036583899682	0.20000000000076987	92666549868532.98	150714908230488.44	0.0034400299308366914	0.006953944063382135	1.5194242871447643e-05	-7853793.422064408	0.019999570660940765
Initial_000000001	13824000.0	5.0	5.0	0.00500000000000001	0.23013719424335297	0.2376682182531735	0.20000000003176924	101377952633314.62	150714908212433.4	0.003750938809698926	0.006712879790494542	1.6604215088429376e-05	-7853079.303682346	0.019999529675821127
Initial_000000001	17280000.0	5.0	5.0	0.0050000000000087145	0.2888278728554069	0.24820112587360665	0.2000000016038656	110921537134854.66	150714907340378.1	0.0040906166082912525	0.006467213543459432	1.8144640796670318e-05	-7852296.892477648	0.019999484577062868
Initial_000000001	20736000.0	5.0	5.0	0.005000000009386828	0.3542063888086007	0.25921898914773955	0.2000000973886662	121380588472026.31	150714856487354.6	0.004461701318792615	0.006217775051137758	1.982747827900563e-05	-7851439.358758709	0.019999434963648546
Initial_000000001	24192000.0	5.0	5.0	0.005000012113607878	0.4269944051974981	0.2707377063356098	0.2000068749601457	132846156117939.8	150711368409775.84	0.004867010071749071	0.0059655465157134185	2.1665487628442874e-05	-7850499.311086708	0.019999380570287904
Initial_000000001	27648000.0	5.0	5.0	0.005013008945547047	0.5078067419371634	0.2824312322759498	0.20041148818968965	145249560575934.34	150471105241053.0	0.005304930866294776	0.0057192463254808175	2.3650584527695847e-05	-7849477.115084343	0.019999335531795538
Initial_000000001	31104000.0	5.0	5.0	0.005295304160491836	0.5907103810196206	0.29134094977739194	0.20336707762897063	145552350512903.66	147188719631262.78	0.005680536412907819	0.005776508985569114	2.53365648318816e-05	-7848489.021727565	0.01999939255880562
Initial_000000001	34560000.0	5.0	5.0	0.005618667401931857	0.6686454088583584	0.2989667434149864	0.20808840548719967	138700992723585.16	140910482451871.97	0.005989460316662322	0.006046840068590158	2.6704214313721877e-05	-7847574.861033297	0.01999943083342785
Initial_000000001	38016000.0	5.0	5.0	0.005936999809273076	0.7418581389324668	0.30643214415432407	0.21323533903498362	132276166317192.31	134218965029131.42	0.006294509733010684	0.006343549290502528	2.804926003551332e-05	-7846710.172988765	0.019999459166457043
Initial_000000001	41472000.0	5.0	5.0	0.00625232493455647	0.8109773606247724	0.3139415969686795	0.21849005281944978	126212573308656.03	127825037476759.22	0.006608048789017242	0.006653721382273095	2.942979112715237e-05	-7845884.777959745	0.019999482453340236
Initial_000000001	44928000.0	5.0	5.0	0.006565942153840687	0.8765674471007032	0.3215250391119338	0.22380449355896465	120496319910998.12	121806347332178.12	0.006932292325697313	0.006975059221331238	3.085608485568771e-05	-7845092.552076566	0.019999502344111002
Initial_000000001	48384000.0	5.0	5.0	0.006878886498362862	0.9390825803342806	0.32918529525707635	0.22917124649501364	115106324846642.88	116148686977255.11	0.007267710575010224	0.007307359844705584	3.233019912938358e-05	-7844328.984393977	0.019999519631240296
Initial_000000001	51840000.0	5.0	5.0	0.007191957493900223	0.9988879453928523	0.33692131612099196	0.23458852404695588	110021612766893.77	110827908171601.23	0.007614513180193725	0.007650724535076893	3.385296248928477e-05	-7843590.513033402	0.01999953483400496
Initial_000000001	55296000.0	5.0	5.0	0.007505776281363696	1.0562814761037849	0.3447314735393767	0.240055261156763	105222477482769.61	105820450865810.39	0.007972866618346284	0.008005292638635798	3.5424998275123066e-05	-7842874.247208579	0.019999548332433403
Initial_000000001	58752000.0	5.0	5.0	0.007820831030328932	1.1115098890854063	0.3526140304416546	0.24557044093275648	100690550725205.28	101104515462863.58	0.008342925497427925	0.008371203462285858	3.7046872132829595e-05	-7842177.800710807	0.0199995604161465
Initial_000000001	62208000.0	5.0	5.0	0.008137509316760097	1.1647802089160497	0.3605672128303399	0.2511330103991201	96408732935224.66	96660046639071.17	0.008724837066757765	0.008748590770368906	3.871911335869939e-05	-7841499.177434802	0.01999957131091047
Initial_000000001	65664000.0	5.0	5.0	0.008456121225261095	1.2162681742388208	0.36858922453758125	0.25674187731988773	92361109610583.1	92468584272521.77	0.009118741840142362	0.00913758195623144	4.0442217936055606e-05	-7840836.68862529	0.01999958119575288
