tree	time	x	y	r_stem	h_stem	r_crown	r_root	xylem_resistance	root_surface_resistance	ag_resources	bg_resources	growth	psi_zero	salinity
Initial_000000001	0.0	5.0	5.0	0.005	0.05	0.2	0.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Initial_000000001	3456000.0	5.0	5.0	0.005	0.08792490792962149	0.20878417101103708	0.2	77443685613526.0	150714908230961.47	0.002895046128915591	0.00946854571274576	1.2722715988506622e-05	-7855041.111217974	0.0
Initial_000000001	6912000.0	5.0	5.0	0.005	0.1302541285704177	0.21797845121604142	0.20000000000000004	84711475397226.81	150714908230961.47	0.0031554713106542315	0.009175564270498964	1.3903759728864887e-05	-7854445.469785865	0.0
Initial_000000001	10368000.0	5.0	5.0	0.005	0.17747795696549767	0.22760036583967946	0.20000000000000082	92666549868578.97	150714908230961.0	0.0034400299308452874	0.008874934941133917	1.5194242871488007e-05	-7853793.422064394	0.0
Initial_000000001	13824000.0	5.0	5.0	0.005	0.23013719424659757	0.23766821828015572	0.20000000000002507	101377952634991.58	150714908230945.72	0.0037509388100356988	0.008567488283115827	1.660421509001083e-05	-7853079.303681784	0.0
Initial_000000001	17280000.0	5.0	5.0	0.005000000000000005	0.28882787301091817	0.24820112717824008	0.2000000000009466	110921537209869.9	150714908230398.06	0.004090616624481322	0.008254172366402255	1.8144640872700412e-05	-7852296.892450525	0.0
Initial_000000001	20736000.0	5.0	5.0	0.005000000000004217	0.3542063979312291	0.2592190650612951	0.20000000004468296	121380592596787.4	150714908205785.94	0.004461702259913479	0.007936043865111757	1.9827482698749232e-05	-7851439.357179792	0.0
Initial_000000001	24192000.0	5.0	5.0	0.0050000000044749925	0.42699513989787613	0.2707428968887693	0.20000000258016665	132846523476140.3	150714906842090.38	0.004867074819109575	0.00761425540355749	2.1665791706849e-05	-7850499.202040644	0.0
Initial_000000001	27648000.0	5.0	5.0	0.005000004740339521	0.5079884627996805	0.28279429922807786	0.20000015005145125	145419532536131.38	150714823204563.7	0.005309873884646677	0.007290042632575437	2.367379926248573e-05	-7849468.20902908	0.0
Initial_000000001	31104000.0	5.0	5.0	0.005001532655673069	0.5980390470076221	0.2953858680332893	0.20000313663679403	159181176914178.44	150712348433142.3	0.005793393092452741	0.006965386623638771	2.5866413201146448e-05	-7848337.766218042	0.0
Initial_000000001	34560000.0	5.0	5.0	0.005111764007129458	0.6962753240623992	0.3079101735432503	0.20002284190758168	171049391831986.62	150693508764072.28	0.006310617453146365	0.006707834679533403	2.821007297207493e-05	-7847128.341466029	0.0
Initial_000000001	38016000.0	5.0	5.0	0.0055746263388979905	0.7904406221284129	0.3184512500618974	0.20039659750616653	158231408379281.97	150452065888336.84	0.00677123697851538	0.006990589299471801	3.0280265135509513e-05	-7845997.763970706	0.0
Initial_000000001	41472000.0	5.0	5.0	0.005947174753278746	0.8777602294276288	0.3280496895566379	0.20340403135924584	147083431246894.5	147215063315264.28	0.007201217357386701	0.007331287654091149	3.2199993685838204e-05	-7844952.8372402135	0.0
Initial_000000001	44928000.0	5.0	5.0	0.006283263219443992	0.9603942262582887	0.33684991844622875	0.2083627546164207	139826878013059.55	140613127909999.62	0.007600588452323074	0.007692600068363534	3.396987528250294e-05	-7843969.537240491	0.0
Initial_000000001	48384000.0	5.0	5.0	0.006616866420482978	1.0386989533181499	0.3455540708034793	0.21371025321067708	133103601147000.77	133679738155809.84	0.008000866339846887	0.00808540673690403	3.573828967380864e-05	-7843030.592398785	0.0
Initial_000000001	51840000.0	5.0	5.0	0.006949789378279111	1.1131834413698654	0.3543271480913942	0.21915121334073176	126785897038492.2	127104112672905.53	0.008413939211231156	0.008495021839257532	3.75610218757285e-05	-7842127.771794609	0.0
Initial_000000001	55296000.0	5.0	5.0	0.0072829215547050435	1.1843139824594726	0.36318763063221426	0.22464967341867734	120848604175320.4	120935903769732.06	0.008841622809403434	0.008919344921466243	3.944641515124495e-05	-7841256.138519068	0.0
Initial_000000001	58752000.0	5.0	5.0	0.00761696807320052	1.2524743464540216	0.3721356726501707	0.2302006144443327	115265854343957.95	115152554348834.02	0.009284320008083553	0.009358303704956971	4.139615656945263e-05	-7840411.92476389	0.0
Initial_000000001	62208000.0	5.0	5.0	0.007952479082726787	1.317980413108968	0.381169320968199	0.23580244709400633	110013326699691.48	109726378196553.6	0.009742260074773896	0.009812056351712527	4.341111319627754e-05	-7839592.070070005	0.0
Initial_000000001	65664000.0	5.0	5.0	0.008289886370036728	1.3810954109038633	0.3902863573718113	0.24145392321150436	105068479836165.69	104631331028475.23	0.010215643797688577	0.010280779184855203	4.549201567710237e-05	-7838794.035687398	0.0
Initial_000000001	69120000.0	5.0	5.0	0.008629531361500725	1.442041395912466	0.3994845132635174	0.24715379660099293	100410447432699.56	99843495859188.48	0.010704660225407354	0.010764642385759455	4.76395372141473e-05	-7838015.687755869	0.0
Initial_000000001	72576000.0	5.0	5.0	0.008971685382167898	1.5010077430004778	0.4087614999575817	0.252900792699574	96019913237232.88	95340940173504.5	0.011209488592920466	0.011263807177418985	4.9854302784564207e-05	-7837255.213411998	0.0
Initial_000000001	76032000.0	5.0	5.0	0.00931656450201953	1.5581575160665238	0.4181150172135122	0.25869361197234925	91878992219696.3	91103530691432.77	0.011730298525896398	0.011778425486472297	5.213689025151511e-05	-7836511.058129658	0.0
Initial_000000001	79488000.0	5.0	5.0	0.009664340618919234	1.6136323270953008	0.4275427586680465	0.2645309359829985	87971119812455.5	87112763666508.03	0.012267250049370617	0.01230863990417936	5.448783055499223e-05	-7835781.877946128	0.0
Initial_000000001	82944000.0	5.0	5.0	0.010015149875152608	1.667556099681733	0.43704241643887115	0.27041143284901686	84280949193589.02	83351613806612.12	0.012820493583957806	0.012854583695204813	5.690760784419059e-05	-7835066.502451591	0.0
