tree	time	x	y	r_stem	h_stem	r_crown	r_root	xylem_resistance	root_surface_resistance	ag_resources	bg_resources	growth	psi_zero	salinity
Initial_000000001	0.0	5.0	5.0	0.005	0.05	0.2	0.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Initial_000000001	3456000.0	5.0	5.0	0.0050000000000038495	0.08792203874012429	0.20874795457423367	0.20003766216363467	77441509575166.47	150694227470546.03	0.0028946731019662557	0.003321397502374607	1.2720963973926161e-05	-7855041.849931213	0.05999892879184915
Initial_000000001	6912000.0	5.0	5.0	0.005000000001906764	0.1300983594553175	0.21675383172056778	0.20131514181389282	84615359204433.94	149784654259220.12	0.003138498152800294	0.0032319645438245188	1.3824053333174706e-05	-7854471.024915386	0.059998927227788046
Initial_000000001	10368000.0	5.0	5.0	0.005000000253844726	0.17490413984841843	0.22097405210924276	0.2069748519783567	91721069216955.86	143031145864418.5	0.003289373705141245	0.0032264865909520414	1.419180966760383e-05	-7853948.679485704	0.05999903835105607
Initial_000000001	13824000.0	5.0	5.0	0.005000024476817589	0.21973882427066826	0.22354019046034612	0.21426327777383325	98510836206830.84	133650088183729.86	0.0033735386892802246	0.0032619130654061726	1.4311923830335414e-05	-7853458.503597072	0.05999907478020001
Initial_000000001	17280000.0	5.0	5.0	0.005002148063572547	0.26440354347590267	0.22553948924481085	0.22195343622481664	105133892613555.55	124540440185784.47	0.003437680930807125	0.003296653537929571	1.4428401767806524e-05	-7852981.116459519	0.059999095833350224
Initial_000000001	20736000.0	5.0	5.0	0.005091068176871856	0.30823154794879093	0.22730731443017888	0.2292707452745346	109718949996857.62	116381623989760.42	0.0034918609273380382	0.0033481909517501735	1.4623441523316845e-05	-7852516.479005503	0.05999912415414902
Initial_000000001	24192000.0	5.0	5.0	0.00533281145621689	0.34969714893848985	0.23005820798025714	0.23485312104579165	106026175620631.03	110497536425698.2	0.0035658980869475994	0.0034956979530440047	1.5268319772732938e-05	-7852055.728928341	0.05999911531348314
Initial_000000001	27648000.0	5.0	5.0	0.005567146721196212	0.3890657008468358	0.23381299359458685	0.23957211582977428	102225352980356.97	106047345893169.38	0.0036785353200668395	0.003633575417240129	1.5865872957979156e-05	-7851595.854540367	0.05999912814690861
Initial_000000001	31104000.0	5.0	5.0	0.005798056009662354	0.42659450905957763	0.2378960689450385	0.24405372791440483	98718279129507.34	102144327824944.3	0.0038070475858190166	0.0037670046143795845	1.6440618313639647e-05	-7851147.586993424	0.05999915335636635
Initial_000000001	34560000.0	5.0	5.0	0.006027231355308944	0.46249333763044986	0.2420944666836378	0.24849385072230043	95376656166667.33	98508586604442.58	0.003942538733612574	0.0039019468822664347	1.7020602111922963e-05	-7850713.046921512	0.05999917947542345
Initial_000000001	38016000.0	5.0	5.0	0.006255299228590115	0.49693811285211215	0.24634990046338515	0.2529467752093974	92178692996262.92	95059823841829.11	0.004082579408047325	0.0040398373306698805	1.7612541733119792e-05	-7850291.652065829	0.059999203791670064
Initial_000000001	41472000.0	5.0	5.0	0.006482728489637367	0.5300759606892373	0.25064587066892	0.25742738378595736	89115387320807.05	91770750465128.73	0.004226520161759545	0.004181081964989348	1.82183036437214e-05	-7849882.282843115	0.05999922590086824
Initial_000000001	44928000.0	5.0	5.0	0.006709905161354363	0.56203084304542	0.2549773524556231	0.2619395830232776	86179950449409.03	88628359123685.81	0.004374205502490127	0.004325821025213393	1.8838501093310083e-05	-7849483.821774545	0.059999245950897506
Initial_000000001	48384000.0	5.0	5.0	0.006937148784940938	0.5929082161548751	0.25934251857555174	0.26648417791399337	83366278404651.28	85623784647880.44	0.004525618942734581	0.0044741207285134334	1.9473397973387912e-05	-7849095.270185068	0.05999926419002711
Initial_000000001	51840000.0	5.0	5.0	0.007164724855796155	0.6227986443203989	0.26374043981873996	0.27106107573707827	80668646666987.02	82749598472552.73	0.00468078301953098	0.004626025503679304	2.012315507539052e-05	-7848715.757869973	0.05999928085566495
Initial_000000001	55296000.0	5.0	5.0	0.0073928551749901	0.6517805797254594	0.2681704386847087	0.2756699105803199	78081631046016.64	79999061590351.25	0.004839730747560106	0.004781572690826392	2.0787899407290614e-05	-7848344.528505899	0.05999929615232423
Initial_000000001	58752000.0	5.0	5.0	0.007621726081613276	0.6799225159085148	0.27263190612406374	0.28031022348236984	75600079207178.23	77365900964204.73	0.005002497371169416	0.004940796735936368	2.1467743986600814e-05	-7847980.9221207835	0.05999931025192844
Initial_000000001	62208000.0	5.0	5.0	0.007851494898186526	0.7072846747646816	0.2771242493134415	0.2849815161486529	73219094581345.48	74844228783552.69	0.005169117946557485	0.005103730391721282	2.2162793520504373e-05	-7847624.359569029	0.059999323298725614
Initial_000000001	65664000.0	5.0	5.0	0.00808229498375514	0.7339203436689161	0.2816468768653668	0.28968326818068263	70934023513173.89	72428502377228.17	0.005339626615359827	0.005270405056384494	2.287314602199386e-05	-7847274.329704509	0.059999335414335615
Initial_000000001	69120000.0	5.0	5.0	0.008314239725759676	0.759876947142936	0.28619919483909173	0.29441494353020936	68740443431873.375	70113496901665.52	0.005514056374615391	0.005440850862697049	2.359889324915505e-05	-7846930.378945785	0.059999346701989455
Initial_000000001	72576000.0	5.0	5.0	0.008547425723557716	0.7851969146437326	0.2907806059020687	0.2991759936258725	66634151535855.6	67894282979739.92	0.005692438994932819	0.005615096695055651	2.434012080514738e-05	-7846592.102779547	0.059999357249915466
Initial_000000001	76032000.0	5.0	5.0	0.00878193535191434	0.809918389916717	0.2953905094221801	0.3039658593726096	64611153897887.055	65766206957691.055	0.005874804984459917	0.005793170186519298	2.5096908143974885e-05	-7846259.138800054	0.05999936713401673
Initial_000000001	79488000.0	5.0	5.0	0.00901783884444445	0.8340758158716368	0.3000283018386377	0.3087839726972476	62667654989245.71	63724872986239.14	0.00606118356822633	0.005975097711167586	2.5869328554339763e-05	-7845931.160964225	0.0599993764199934
Initial_000000001	82944000.0	5.0	5.0	0.009255196001743128	0.8577004206668706	0.3046933771165861	0.31362975786128033	60800047634400.85	61766126582702.82	0.006251602673693137	0.006160904376337556	2.6657449143022256e-05	-7845607.874814231	0.05999938516503669
Initial_000000001	86400000.0	5.0	5.0	0.009494057603301246	0.8808206246530224	0.30938512722526523	0.318502632623524	59004903403473.695	59886039476012.67	0.0064460889196866576	0.006350614016092153	2.7461330824128888e-05	-7845289.013475995	0.05999939341919149
Initial_000000001	89856000.0	5.0	5.0	0.009734466583537198	0.9034623833697841	0.31410294261997973	0.3234020092904467	57278963443212.14	58080895592452.05	0.006644667607806804	0.006544249186310914	2.8281028316016194e-05	-7844974.334284939	0.05999940122646159
Initial_000000001	93312000.0	5.0	5.0	0.009976459018411635	0.9256494784597135	0.31884621272052993	0.32832729567567664	55619129741697.914	56347178067828.68	0.00684736271598458	0.006741831161499417	2.911659014631261e-05	-7844663.615922733	0.05999940862571248
Initial_000000001	96768000.0	5.0	5.0	0.010220064958746293	0.9474037658468527	0.32361432638275317	0.3332778959831291	54022456817907.16	54681557189428.64	0.007054196894044618	0.0069433799333212054	2.9968058665025496e-05	-7844356.655973413	0.05999941565141446
Initial_000000001	100224000.0	5.0	5.0	0.010465309138570173	0.9687453886083737	0.3284066723612349	0.3382532116244147	52486143824359.54	53080879184101.82	0.007265191461185636	0.0071489142108241074	3.083547006557209e-05	-7844053.268826025	0.05999942233425816
Initial_000000001	103680000.0	5.0	5.0	0.010712211580882697	0.9896929604885992	0.33322263976183475	0.3432526419787907	51007527049139.26	51542155779146.984	0.007480366405309899	0.007358451422320447	3.1718854413515894e-05	-7843753.28386548	0.05999942870166775
Initial_000000001	107136000.0	5.0	5.0	0.01096078811866741	1.0102637248554789	0.33806161848297717	0.3482755851022189	49584072802319.984	50062554471162.695	0.007699740384138052	0.007572007718874081	3.261823568276065e-05	-7843456.543904532	0.059999434778231296
Initial_000000001	110592000.0	5.0	5.0	0.011211050845462124	1.0304736929990617	0.3429229996448531	0.35332143839081964	48213370671092.7	48639389445163.86	0.007923330728047025	0.007789597979342994	3.3533631798935474e-05	-7843162.903818647	0.05999944058606355
Initial_000000001	114048000.0	5.0	5.0	0.0114630085070378	1.0503377649604198	0.3478061760058292	0.3583895992030338	46893127127547.58	47270113092331.96	0.00815115344456812	0.008011235816922969	3.44650546896907e-05	-7842872.229352504	0.05999944614511359
Initial_000000001	117504000.0	5.0	5.0	0.011716666843573498	1.0698698355139031	0.352710542365479	0.363479465444042	45621159472998.055	45952308079976.32	0.008383223224481734	0.008236933587135143	3.541251034161266e-05	-7842584.396072398	0.05999945147342671
Initial_000000001	120960000.0	5.0	5.0	0.01197202889000027	1.0890828874726943	0.3576354959537577	0.36859043611538694	44395390102879.31	44683679931796.59	0.0086195534494439	0.008466702397198067	3.637599886345624e-05	-7842299.28844328	0.05999945658736858
Initial_000000001	124416000.0	5.0	5.0	0.012229095240820522	1.107989074122614	0.3625804368059301	0.3737219118322703	43213841076550.93	43462050080470.375	0.008860156201078951	0.00870055211672299	3.7355514555386496e-05	-7842016.799012725	0.05999946150181797
Initial_000000001	127872000.0	5.0	5.0	0.012487864284613395	1.1265997922931583	0.3675447681229441	0.37887329531061664	42074628976737.984	42285349358043.49	0.00910504227147155	0.008938491389669739	3.835104598391525e-05	-7841736.827687032	0.05999946623033285
Initial_000000001	131328000.0	5.0	5.0	0.012748332412552785	1.1449257473333954	0.372527896617016	0.38404399182569293	40975960043826.63	41151611892649.58	0.009354221174990749	0.009180527647499288	3.936257606221377e-05	-7841459.281087033	0.05999947078529457
Initial_000000001	134784000.0	5.0	5.0	0.013010494204547479	1.1629770110624518	0.37752923284225787	0.3892334096438352	39916125570762.484	40058969382790.42	0.009607701161377935	0.009426667123458405	4.039008213548045e-05	-7841184.071973112	0.059999475178032974
Initial_000000001	138240000.0	5.0	5.0	0.013274342596028285	1.18076307360124	0.3825481915102411	0.3944409604286346	38893497544863.42	39005645722820.87	0.009865489230030338	0.009676914867931211	4.143353607104092e-05	-7840911.118730541	0.05999947941893581
Initial_000000001	141696000.0	5.0	5.0	0.013539869027927842	1.1982928898570124	0.38758419179044407	0.3996660596227843	37906524523441.52	37989951955441.664	0.010127591145411508	0.009931274764792247	4.249290435285794e-05	-7840640.344907574	0.05999948351754442
Initial_000000001	145152000.0	5.0	5.0	0.013807063582004484	1.215574921319958	0.392636657595583	0.4049081268066611	36953727730715.58	37010281528944.164	0.010394011453520263	0.01018974954869573	4.356814818013004e-05	-7840371.678799826	0.059999487482637795
Initial_000000001	148608000.0	5.0	5.0	0.014075915103335366	1.2326171737371567	0.39770501785187395	0.41016658603461603	36033697364083.15	36065105838701.82	0.010664753499349915	0.010452340823235878	4.4659223569659687e-05	-7840105.053075384	0.0599994913223067
Initial_000000001	152064000.0	5.0	5.0	0.01434641131153319	1.2494272311503947	0.4027887067543137	0.4154408661498663	35145089098398.805	35152970033986.547	0.010939819445269916	0.0107190490799138	4.5766081461675996e-05	-7839840.404435895	0.059999495044019184
Initial_000000001	155520000.0	5.0	5.0	0.014618538902015225	1.266012286717954	0.40788716400711056	0.420730401078817	34286620777471.68	34272489072625.047	0.011219210290262904	0.010989873717847114	4.688866782880081e-05	-7839577.673309477	0.05999949865467853
Initial_000000001	158976000.0	5.0	5.0	0.014892283638464182	1.2823791706843233	0.41299983504942955	0.42603463010558507	33457069282545.02	33422344007317.355	0.011502925889950897	0.011264813064159369	4.8026923787852784e-05	-7839316.803571917	0.05999950216067497
Initial_000000001	162432000.0	5.0	5.0	0.015167630437461957	1.2985343758141084	0.41812617126664986	0.4313529981274584	32655267568052.562	32601278488630.992	0.011790964977345322	0.011543864394987467	4.9180785714189755e-05	-7839057.742293012	0.059999505567931516
Initial_000000001	165888000.0	5.0	5.0	0.01544456344614337	1.3144840805658013	0.4232656301873631	0.4366849558919847	31880101855458.508	31808095470773.41	0.01208332518425698	0.011827023957046573	5.035018535829736e-05	-7838800.439505373	0.05999950888194505
Initial_000000001	169344000.0	5.0	5.0	0.01572306611360398	1.3302341702463587	0.4284176756663671	0.44202996021635765	31130508976479.156	31041654107242.008	0.012380003063303143	0.01211428698969333	5.153504996433859e-05	-7838544.847993309	0.05999951210782313
