tree	time	x	y	r_stem	h_stem	r_crown	r_root	xylem_resistance	root_surface_resistance	ag_resources	bg_resources	growth	psi_zero	salinity
Initial_000000001	0.0	5.0	5.0	0.005	0.05	0.2	0.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Initial_000000001	3456000.0	5.0	5.0	0.005	0.08792490792961707	0.2087841710109896	0.20000000000004928	77443685613522.78	150714908230931.1	0.0028950461289150406	0.006394805077238873	1.2722715988504036e-05	-7855041.111217975	0.0299994626041415
Initial_000000001	6912000.0	5.0	5.0	0.005	0.13025412857024224	0.21797845121449486	0.2000000000016705	84711475397120.47	150714908229930.1	0.0031554713106354917	0.006196712323553858	1.390375972877689e-05	-7854445.469785898	0.02999941185256372
Initial_000000001	10368000.0	5.0	5.0	0.005000000000000001	0.1774779569587705	0.22760036578038917	0.20000000006686264	92666549864783.97	150714908191622.25	0.0034400299301303333	0.005993448625546756	1.5194242868130675e-05	-7853793.422065623	0.02999935599141396
Initial_000000001	13824000.0	5.0	5.0	0.00500000000000105	0.23013719393610155	0.23766821552994127	0.20000000323849554	101377952471480.89	150714906412320.38	0.0037509387769829533	0.005785575588890919	1.6604214934793195e-05	-7853079.30373879	0.02999929451386612
Initial_000000001	17280000.0	5.0	5.0	0.005000000001027202	0.2888278557751792	0.2482009751190445	0.20000018694984528	110921528777541.36	150714807567334.25	0.004090614794665734	0.005573736421486441	1.8144632279493835e-05	-7852296.8956030095	0.029999226873224295
Initial_000000001	20736000.0	5.0	5.0	0.005000001219022706	0.35420526215953746	0.25920928657448855	0.2000125439233318	121380074129136.94	150708379298942.56	0.004461583507271877	0.005358777595041371	1.982692499612924e-05	-7851439.560175624	0.029999152946698863
Initial_000000001	24192000.0	5.0	5.0	0.005001453798817049	0.42690161572611385	0.2701456092493007	0.20078803268421208	132799365165653.78	150265692131054.1	0.00485883187874825	0.005150088574602159	2.1627079435789413e-05	-7850511.838296255	0.029999100726822985
Initial_000000001	27648000.0	5.0	5.0	0.005169727755493026	0.5035368597531277	0.2770720760604186	0.20642386079395297	139567627907146.36	143562025558990.84	0.005154130033924465	0.005148029638453602	2.2913958167655088e-05	-7849624.149273517	0.029999185915892627
Initial_000000001	31104000.0	5.0	5.0	0.005482840905951947	0.5751465829842771	0.28350996700560216	0.2118131140090093	133062232560544.19	136042284293168.66	0.005390962443979547	0.005415476752503554	2.397975503001687e-05	-7848795.3464682745	0.029999222733181913
Initial_000000001	34560000.0	5.0	5.0	0.005788966057247222	0.6421402277778353	0.29022691035119075	0.21696838373556132	127105294418995.11	129595095578095.2	0.005649407413176742	0.005676304661646896	2.5114915730085375e-05	-7848006.352384409	0.02999925942669743
Initial_000000001	38016000.0	5.0	5.0	0.0060914430032686364	0.7053356922399745	0.2970467044164683	0.22213124008712917	121493243685616.56	123615445622088.5	0.005918767089093243	0.005943893864400141	2.6297619710432644e-05	-7847252.600518474	0.029999291176519456
Initial_000000001	41472000.0	5.0	5.0	0.00639181675663218	0.7652852118659341	0.3039423116036961	0.22733726902442622	116192583103230.19	117999203769698.78	0.006197637502937926	0.006220111866548891	2.7521124686561995e-05	-7846529.203917931	0.029999318546551784
Initial_000000001	44928000.0	5.0	5.0	0.006691163108137859	0.822411288553843	0.3109083236798307	0.23259155541975982	111182559673895.95	112710595476059.56	0.006485914204005223	0.006505360483426038	2.8784808088062615e-05	-7845832.123948689	0.029999342368076994
Initial_000000001	48384000.0	5.0	5.0	0.006990292892638673	0.8770505324378961	0.3179426869031313	0.23789429924593467	106444986723295.72	107725501282979.53	0.0067836948049862	0.006799810825910527	3.0088997560578413e-05	-7845158.098759745	0.029999363318343197
Initial_000000001	51840000.0	5.0	5.0	0.007289834676548184	0.9294770382121172	0.32504385703074545	0.24324484729047768	101963017867864.52	103023075402703.66	0.007091105761992646	0.007103592626817524	3.143415506071288e-05	-7844504.4697801955	0.029999381916264455
Initial_000000001	55296000.0	5.0	5.0	0.00759028370571357	0.979917642016134	0.3322103493307967	0.2486423533147254	97720927752295.14	98584339016617.72	0.007408274138344796	0.007416824666517125	3.282074391634909e-05	-7843869.040877951	0.02999939856097798
Initial_000000001	58752000.0	5.0	5.0	0.007892034748265955	1.028562619060644	0.33944066951087365	0.25408589632803613	93704025905335.28	94391831323616.27	0.00773532289494302	0.00773961972676079	3.42492067163272e-05	-7843249.974771212	0.029999413564129863
Initial_000000001	62208000.0	5.0	5.0	0.008195402389514118	1.0755730177456138	0.34673323726327243	0.2595744569780297	89898589600286.27	90429438889186.19	0.00807237005623682	0.008072085381404245	3.571862348780097e-05	-7842645.72258081	0.02999942719402643
Initial_000000001	65664000.0	5.0	5.0	0.008500519296976341	1.1210693640361218	0.3540835257338613	0.2651047752647772	86292754414633.55	86683251393928.94	0.008419433428571006	0.008414230101080073	3.7208530714028056e-05	-7842055.1907639075	0.029999439945959452
Initial_000000001	69120000.0	5.0	5.0	0.00880753063425895	1.1651645143781069	0.3614884419416809	0.27067465436344973	82875550174258.48	83140519414716.78	0.008776486964759684	0.008766019774231028	3.873887141495679e-05	-7841477.332883055	0.02999945164039583
Initial_000000001	72576000.0	5.0	5.0	0.009116604188794753	1.2079653183302543	0.36894639009967356	0.2762830086010073	79635460173256.44	79788118102028.22	0.009143616766011695	0.009127531014546341	4.030987393370483e-05	-7840911.132053425	0.02999946241414743
